Timestamp,Cuál se su sexo?,Cuál es su edad?,"Usted usa domotica (Alexa, google Home u otro dispositivo similar) en su hogar u oficina?
Si su respuesta es NO aquí termina el cuestionario.","Cuanto tiempo estas en tu hogar u oficina donde tengas un dispositivo inteligente(Alexa, google home u otro dispositivo similar)",Que relación tiene usted con el ambiente donde se encuentra el aparato inteligente?,Usted ve una mejora en su vida cotidiana usando la domotica?,"Si su respuesta fue SI, usted que podría mejorar su asistente inteligente que mejoraría? y si su respuesta fue NO déjenos un comentario explicando él porque usan dispositivos inteligentes."
8/28/2022 20:40:20,Femenino,17 a 21 años,SI,9 a 12 horas,"Habitante, Trabajador",SI,"Ahorro economico, Seguridad"
8/28/2022 20:56:47,Masculino,17 a 21 años,SI,0 a 8 horas,Habitante,SI,Confort
8/28/2022 21:30:59,Masculino,22 a 31 años,SI,0 a 8 horas,Trabajador,NO,
8/28/2022 21:33:26,Masculino,22 a 31 años,SI,13 a 16 horas,Habitante,SI,"Ahorro economico, Seguridad"
8/28/2022 21:34:11,Femenino,22 a 31 años,SI,13 a 16 horas,Habitante,SI,"Ahorro economico, Seguridad"
8/28/2022 21:34:46,Masculino,32 a 41 años,SI,9 a 12 horas,Trabajador,SI,"Ahorro economico, Seguridad"
8/28/2022 21:37:42,Prefiero no decirlo,17 a 21 años,SI,17 a 20 horas,Cliente,SI,"Ahorro economico, Seguridad"
8/28/2022 21:48:27,Masculino,22 a 31 años,SI,0 a 8 horas,,SI,Productividad
8/28/2022 21:52:06,Masculino,52 a 61 años,SI,13 a 16 horas,"Habitante, Trabajador",SI,"Ahorro economico, Seguridad"
8/28/2022 21:52:23,Masculino,42 a 51 años,SI,17 a 20 horas,Cliente,NO,"Ahorro economico, Seguridad"
8/28/2022 21:52:38,Masculino,52 a 61 años,SI,13 a 16 horas,Cliente,SI,"Ahorro economico, Seguridad"
8/28/2022 21:52:56,Masculino,42 a 51 años,SI,21 a 24 horas,"Habitante, Trabajador",SI,"Ahorro economico, Seguridad"
8/28/2022 21:53:49,Masculino,42 a 51 años,SI,17 a 20 horas,"Habitante, Trabajador",NO,"Ahorro economico, Seguridad"
8/28/2022 21:54:07,Masculino,32 a 41 años,SI,9 a 12 horas,"Habitante, Trabajador",SI,"Ahorro economico, Seguridad"
8/28/2022 22:25:41,Masculino,22 a 31 años,NO,,,,
8/29/2022 6:51:56,Masculino,17 a 21 años,SI,9 a 12 horas,Cliente,SI,Seguridad
8/29/2022 6:53:18,Masculino,42 a 51 años,SI,9 a 12 horas,Habitante,SI,Confort
8/29/2022 7:45:02,Femenino,17 a 21 años,SI,0 a 8 horas,Habitante,NO,
8/29/2022 8:04:01,Masculino,52 a 61 años,SI,17 a 20 horas,"Habitante, Trabajador",SI,"Ahorro economico, Seguridad"
8/29/2022 8:04:19,Masculino,22 a 31 años,SI,13 a 16 horas,Cliente,NO,Ahorro economico
8/29/2022 8:05:44,Femenino,52 a 61 años,SI,13 a 16 horas,Habitante,SI,"Ahorro economico, Seguridad"
8/29/2022 15:40:06,Femenino,17 a 21 años,SI,9 a 12 horas,Habitante,SI,"Productividad, Confort"
8/29/2022 16:26:15,Masculino,17 a 21 años,SI,0 a 8 horas,Habitante,SI,Productividad
8/29/2022 18:08:30,Femenino,17 a 21 años,NO,0 a 8 horas,Habitante,SI,Ahorro economico
8/29/2022 19:06:34,Femenino,22 a 31 años,SI,0 a 8 horas,Habitante,SI,Confort
8/29/2022 19:31:35,Femenino,32 a 41 años,NO,,,,
